Dpse_gene,Dmel_gene,Type,Share_by_Dsub
LOC6902683,aust,New duplicated parental gene,0
LOC4804343,Nup50,New duplicated parental gene,1
LOC6901740,Nup50,New duplicated gene,1
LOC6900005,CG13051,New duplicated parental gene,0
LOC6900145,CG13051,New duplicated gene,0
LOC6900475,CG13051,New duplicated gene,0
LOC117185080,RpS2,New duplicated gene,0
LOC4816899,RpS2,New duplicated parental gene,0
LOC6899645,RpS2,New duplicated gene,0
LOC6901943,RpS2,New duplicated gene,0
LOC6897274,tbrd-1,New duplicated parental gene,1
LOC6901771,tbrd-1,New duplicated gene,1
LOC117183975,Cp110,New duplicated gene,1
LOC4815853,Cp110,New duplicated parental gene,1
LOC6898499,Cp110,New duplicated gene,0
LOC4816774,CG15399,New duplicated parental gene,0
LOC6900862,CG15399,New duplicated gene,0
LOC6901592,CG15399,New duplicated gene,0
LOC4814110,eIF4E3,New duplicated parental gene,0
LOC6902494,eIF4E3,New duplicated gene,0
LOC4814556,Arp2,New duplicated parental gene,0
LOC6902854,Arp2,New duplicated gene,0
LOC6900207,fan,New duplicated parental gene,0
LOC6902496,fan,New duplicated gene,0
LOC6899088,Strn-Mlck,New duplicated parental gene,1
LOC6901104,Strn-Mlck,New duplicated gene,1
LOC4801365,CG7886,New duplicated parental gene,1
LOC6901667,CG7886,New duplicated gene,1
LOC4813686,FucTA,New duplicated parental gene,1
LOC6903001,FucTA,New duplicated gene,1
LOC117185204,Spn42De,New duplicated gene,0
LOC6896665,Spn42De,New duplicated gene,0
LOC6896667,Spn42De,New duplicated gene,0
LOC6898087,Spn42De,New duplicated parental gene,0
LOC6898618,CG7202,New duplicated gene,0
LOC6900274,CG7202,New duplicated parental gene,0
LOC4800932,vret,New duplicated parental gene,1
LOC6901708,vret,New duplicated gene,1
LOC117183720,CG5969,New duplicated gene,1
LOC4812078,CG5969,New duplicated parental gene,1
LOC6898304,CG5969,New duplicated gene,1
LOC6897710,BI-1,New duplicated gene,0
LOC6900941,BI-1,New duplicated parental gene,0
LOC6901937,BI-1,New duplicated gene,0
LOC4815237,Grip84,New duplicated parental gene,1
LOC6900775,Grip84,New duplicated gene,1
LOC4815141,CG10970,New duplicated parental gene,1
LOC6902860,CG10970,New duplicated gene,1
LOC4805180,Rad51D,New duplicated parental gene,0
LOC6904014,Rad51D,New duplicated gene,0
LOC4814976,APC4,New duplicated parental gene,1
LOC6897108,APC4,New duplicated gene,1
LOC4801075,CG13408,New duplicated gene,1
LOC6897399,CG13408,New duplicated parental gene,1
LOC26533150,CG5225,New duplicated parental gene,1
LOC6897455,CG5225,New duplicated gene,1
LOC4803088,Caf1-55,New duplicated parental gene,1
LOC6897547,Caf1-55,New duplicated gene,1
LOC4814710,Hexo2,New duplicated parental gene,1
LOC6901564,Hexo2,New duplicated gene,1
LOC4801028,jumu,New duplicated parental gene,0
LOC6899343,jumu,New duplicated gene,0
LOC117183899,HSPBAP1,New duplicated gene,0
LOC117183960,HSPBAP1,New duplicated gene,0
LOC4800670,HSPBAP1,New duplicated parental gene,0
LOC6902542,HSPBAP1,New duplicated gene,0
LOC4815858,Pp4-19C,New duplicated parental gene,1
LOC6902927,Pp4-19C,New duplicated gene,1
LOC6897402,Naa20A,New duplicated gene,1
LOC6902134,Naa20A,New duplicated parental gene,1
LOC6898271,CG9568,New duplicated gene,1
LOC6902399,CG9568,New duplicated parental gene,1
LOC4815708,CG4151,New duplicated parental gene,1
LOC6902284,CG4151,New duplicated gene,1
LOC4805490,tej,New duplicated parental gene,0
LOC6896718,tej,New duplicated gene,0
LOC6898402,tej,New duplicated gene,0
LOC26532481,Sfxn1-3,New duplicated gene,1
LOC6897777,Sfxn1-3,New duplicated parental gene,1
LOC4818042,TTLL3B,New duplicated parental gene,1
LOC6902363,TTLL3B,New duplicated gene,1
LOC4815264,CG10761,New duplicated parental gene,1
LOC6896862,CG10761,New duplicated gene,1
LOC4817185,r2d2,New duplicated parental gene,1
LOC6901920,r2d2,New duplicated gene,1
LOC6903428,CG16852,New duplicated parental gene,1
LOC6903436,CG16852,New duplicated gene,1
LOC26532043,CG42516,New duplicated parental gene,0
LOC6900450,CG42516,New duplicated gene,0
LOC6897361,CG4511,New duplicated parental gene,1
LOC6901752,CG4511,New duplicated gene,1
LOC4800513,P5cr,New duplicated parental gene,0
LOC6897119,P5cr,New duplicated gene,0
LOC6902373,P5cr,New duplicated gene,0
LOC4812045,mad2,New duplicated parental gene,0
LOC6897114,mad2,New duplicated gene,0
LOC6901754,CG18155,New duplicated parental gene,0
LOC6903086,CG18155,New duplicated gene,0
LOC4811999,asf1,New duplicated parental gene,0
LOC6896818,asf1,New duplicated gene,0
LOC6902336,CG16815,New duplicated gene,0
LOC6902638,CG16815,New duplicated parental gene,0
LOC4811983,nes,New duplicated parental gene,0
LOC6903581,nes,New duplicated gene,0
LOC4815310,CG4955,New duplicated parental gene,0
LOC6903229,CG4955,New duplicated gene,0
LOC117183404,Rca1,New duplicated gene,0
LOC4816209,Rca1,New duplicated parental gene,0
LOC6897142,Rcd7,New duplicated gene,0
LOC6900266,Rcd7,New duplicated parental gene,0
LOC6900678,CG32061,New duplicated parental gene,0
LOC6902746,CG32061,New duplicated gene,0
LOC6900701,CG6479,New duplicated parental gene,0
LOC6903349,CG6479,New duplicated gene,0
LOC6897298,defl,New duplicated gene,0
LOC6900740,defl,New duplicated parental gene,0
LOC6896828,CG11145,New duplicated gene,0
LOC6898113,CG11145,New duplicated parental gene,0
LOC26533957,CG31465,New duplicated gene,0
LOC4800979,CG31465,New duplicated parental gene,0
LOC6898955,MCPH1,New duplicated parental gene,0
LOC6902072,MCPH1,New duplicated gene,0
LOC4812382,UQCR-C2,New duplicated parental gene,0
LOC6897314,UQCR-C2,New duplicated gene,0
LOC13036322,CG8209,New duplicated gene,0
LOC4812320,CG8209,New duplicated parental gene,0
LOC4816274,Cpr65Eb,New duplicated gene,0
LOC6900435,Cpr65Eb,New duplicated parental gene,0
LOC6902152,Tim9a,New duplicated parental gene,0
LOC6903126,Tim9a,New duplicated gene,0
LOC4817764,fzy,New duplicated parental gene,0
LOC6903998,fzy,New duplicated gene,0
LOC117184111,CG5554,New duplicated gene,0
LOC4803397,CG5554,New duplicated parental gene,0
LOC6901666,CG1532,New duplicated parental gene,0
LOC6903210,CG1532,New duplicated gene,0
LOC4804274,Or49a,New duplicated parental gene,0
LOC6898061,Or49a,New duplicated gene,0
LOC117184548,Pex12,New duplicated gene,0
LOC4817333,Pex12,New duplicated parental gene,0
LOC6903707,Pex12,New duplicated gene,0
LOC4816866,CG2617,New duplicated parental gene,0
LOC6903085,CG2617,New duplicated gene,0
LOC6900270,Rnf146,New duplicated parental gene,0
LOC6903667,Rnf146,New duplicated gene,0
LOC6903298,MICU1,New duplicated parental gene,0
LOC6903307,MICU1,New duplicated gene,0
LOC4815283,CG12702,New duplicated parental gene,0
LOC6897896,CG12702,New duplicated gene,0
LOC4814744,Clic,New duplicated parental gene,0
LOC6899484,Clic,New duplicated gene,0
LOC6896872,CG12426,New duplicated parental gene,0
LOC6900811,CG12426,New duplicated gene,0
LOC117183225,CG14695,New duplicated gene,0
LOC117183332,CG14695,New duplicated gene,0
LOC4803117,CG14695,New duplicated parental gene,0
LOC6898394,Rpb5,New duplicated parental gene,0
LOC6902259,Rpb5,New duplicated gene,0
LOC4800421,RpS3,New duplicated parental gene,0
LOC6899197,RpS3,New duplicated gene,0
LOC117183905,crol,New duplicated gene,0
LOC6902800,crol,New duplicated parental gene,0
LOC6898341,rost,New duplicated gene,0
LOC6902397,rost,New duplicated parental gene,0
LOC117184521,wfs1,New duplicated gene,0
LOC6897246,wfs1,New duplicated parental gene,0
LOC13036432,CG34292,New duplicated parental gene,0
LOC6901596,CG34292,New duplicated gene,0
LOC6901927,CG9065,New duplicated parental gene,0
LOC6904037,CG9065,New duplicated gene,0
LOC117183358,Ca-Ma2d,New duplicated gene,0
LOC4816538,Ca-Ma2d,New duplicated parental gene,0
LOC117184266,CG4596,New duplicated gene,0
LOC4803115,CG4596,New duplicated parental gene,0
LOC4813314,Poc1,New duplicated parental gene,0
LOC6897670,Poc1,New duplicated gene,0
LOC6900499,JIL-1,New duplicated parental gene,0
LOC6901999,JIL-1,New duplicated gene,0
LOC117184592,TTLL5,New duplicated gene,0
LOC4811817,TTLL5,New duplicated parental gene,0
LOC117185130,ppk11,New duplicated gene,0
LOC6902783,ppk11,New duplicated parental gene,0
LOC6899994,NA,De novo gene,0
LOC26532863,NA,De novo gene,0
LOC117183699,NA,De novo gene,1
LOC117183344,NA,De novo gene,0
LOC117184416,NA,De novo gene,0
LOC4802315,NA,De novo gene,0
LOC6897636,NA,De novo gene,0
LOC6897858,NA,De novo gene,1
LOC26533673,NA,De novo gene,0
LOC6897928,NA,De novo gene,1
LOC26534306,NA,De novo gene,0
LOC117183648,NA,De novo gene,0
LOC117183617,NA,De novo gene,0
LOC26532328,NA,De novo gene,1
LOC26533523,NA,De novo gene,0
LOC26532775,NA,De novo gene,1
LOC26532023,NA,De novo gene,0
LOC117183497,NA,De novo gene,0
LOC117183530,NA,De novo gene,0
LOC26532170,NA,De novo gene,0
LOC26534008,NA,De novo gene,1
LOC6898929,NA,De novo gene,0
LOC6902670,NA,De novo gene,1
LOC117183996,NA,De novo gene,0
LOC117184013,NA,De novo gene,0
LOC117183978,NA,De novo gene,0
LOC6902492,NA,De novo gene,0
LOC26534356,NA,De novo gene,1
LOC6903576,NA,De novo gene,0
LOC117183935,NA,De novo gene,1
LOC6903527,NA,De novo gene,1
LOC117184106,NA,De novo gene,0
LOC117184159,NA,De novo gene,0
LOC26533542,NA,De novo gene,0
LOC6903342,NA,De novo gene,0
LOC117183980,NA,De novo gene,0
LOC26532938,NA,De novo gene,0
LOC6902818,NA,De novo gene,0
LOC117184025,NA,De novo gene,0
LOC6903264,NA,De novo gene,0
LOC26532524,NA,De novo gene,0
LOC26532134,NA,De novo gene,0
LOC26534385,NA,De novo gene,1
LOC6903780,NA,De novo gene,0
LOC26532871,NA,De novo gene,0
LOC26532600,NA,De novo gene,0
LOC26532114,NA,De novo gene,0
LOC6901797,NA,De novo gene,1
LOC6901773,NA,De novo gene,1
LOC6901738,NA,De novo gene,1
LOC117184827,NA,De novo gene,0
LOC26533018,NA,De novo gene,1
LOC117184499,NA,De novo gene,0
LOC6901683,NA,De novo gene,1
LOC6901657,NA,De novo gene,1
LOC6901651,NA,De novo gene,0
LOC6901649,NA,De novo gene,0
LOC6901641,NA,De novo gene,0
LOC26532767,NA,De novo gene,0
LOC117185161,NA,De novo gene,0
LOC26533804,NA,De novo gene,0
LOC6901580,NA,De novo gene,1
LOC6901496,NA,De novo gene,1
LOC6901479,NA,De novo gene,1
LOC6901393,NA,De novo gene,0
LOC6901334,NA,De novo gene,0
LOC6901917,NA,De novo gene,0
LOC6901121,NA,De novo gene,0
LOC6902110,NA,De novo gene,1
LOC6902104,NA,De novo gene,0
LOC6902090,NA,De novo gene,1
LOC6902054,NA,De novo gene,0
LOC6900364,NA,De novo gene,0
LOC26534321,NA,De novo gene,0
LOC6900523,NA,De novo gene,1
LOC6900801,NA,De novo gene,0
LOC117184395,NA,De novo gene,0
LOC6899963,NA,De novo gene,1
LOC6900240,NA,De novo gene,0
LOC117184534,NA,De novo gene,0
LOC6900951,NA,De novo gene,0
ATP6,mt_ATPase6,Single copy gene,1
ATP8,mt_ATPase8,Single copy gene,1
COX2,mt_CoII,Single copy gene,1
COX3,mt_CoIII,Single copy gene,1
LOC117183166,mtTFB1,Single copy gene,1
LOC117183168,ND-MNLL,Single copy gene,1
LOC117183170,CG8563,Single copy gene,1
LOC117183174,CG18367,Single copy gene,1
LOC117183175,Gs1,Single copy gene,1
LOC117183176,tun,Single copy gene,1
LOC117183202,CG15563,Single copy gene,1
LOC117183231,CG34291,Single copy gene,1
LOC117183267,fd96Ca,Single copy gene,1
LOC117183270,CG31510,Single copy gene,1
LOC117183282,CG7443,Single copy gene,1
LOC117183286,CG42498,Single copy gene,1
LOC117183297,CG13838,Single copy gene,1
LOC117183308,CG12609,Single copy gene,1
LOC117183310,CG4066,Single copy gene,1
LOC117183315,CG44335,Single copy gene,1
LOC117183317,CG45099,Single copy gene,1
LOC117183325,CG43095,Single copy gene,1
LOC117183326,CG5810,Single copy gene,1
LOC117183339,CG9593,Single copy gene,1
LOC117183393,CG17477,Single copy gene,1
LOC117183395,bai,Single copy gene,1
LOC117183498,Mtk,Single copy gene,1
LOC117183506,sei,Single copy gene,1
LOC117183507,ppk29,Single copy gene,1
LOC117183518,CG34446,Single copy gene,1
LOC117183529,CG44438,Single copy gene,1
LOC117183542,CG42383,Single copy gene,1
LOC117183543,CG41242,Single copy gene,1
LOC117183565,CG17974,Single copy gene,1
LOC117183588,CG34211,Single copy gene,1
LOC117183590,CG42404,Single copy gene,1
LOC117183605,CG46319,Single copy gene,1
LOC117183615,alpha-Catr,Single copy gene,1
LOC117183616,Fmo-1,Single copy gene,1
LOC117183622,Sfp53D,Single copy gene,1
LOC117183672,CG45092,Single copy gene,1
LOC117183676,CG13337,Single copy gene,1
LOC117183684,CG43328,Single copy gene,1
LOC117183702,CG34212,Single copy gene,1
LOC117183716,CG42753,Single copy gene,1
LOC117183718,CG3735,Single copy gene,1
LOC117183725,CG44296,Single copy gene,1
LOC117183726,CG43111,Single copy gene,1
LOC117183731,CG46298,Single copy gene,1
LOC117183753,CG34040,Single copy gene,1
LOC117183766,CG43272,Single copy gene,1
LOC117183767,CG42649,Single copy gene,1
LOC117183768,CG43920,Single copy gene,1
LOC117183773,CG34026,Single copy gene,1
LOC117183774,CG30413,Single copy gene,1
LOC117183915,lft,Single copy gene,1
LOC117183939,CG46309,Single copy gene,1
LOC117183953,CG34043,Single copy gene,1
LOC117183970,CG44869,Single copy gene,1
LOC117183982,Clbn,Single copy gene,1
LOC117184007,CG33303,Single copy gene,1
LOC117184023,CG34173,Single copy gene,1
LOC117184076,CG41561,Single copy gene,1
LOC117184105,Ufd4,Single copy gene,1
LOC117184107,uex,Single copy gene,1
LOC117184108,CG12547,Single copy gene,1
LOC117184109,CG41378,Single copy gene,1
LOC117184148,CG46307,Single copy gene,1
LOC117184152,CG43052,Single copy gene,1
LOC117184171,CG5096,Single copy gene,1
LOC117184173,CG5188,Single copy gene,1
LOC117184174,Bug22,Single copy gene,1
LOC117184208,CG13082,Single copy gene,1
LOC117184243,CG17493,Single copy gene,1
LOC117184251,Mdh1,Single copy gene,1
LOC117184252,CG4953,Single copy gene,1
LOC117184253,CG5367,Single copy gene,1
LOC117184255,RnrL,Single copy gene,1
LOC117184256,MFS17,Single copy gene,1
LOC117184264,robl37BC,Single copy gene,1
LOC117184268,Cyp309a1,Single copy gene,1
LOC117184280,Art8,Single copy gene,1
LOC117184337,CG33941,Single copy gene,1
LOC117184341,PIP4K,Single copy gene,1
LOC117184349,Gat,Single copy gene,1
LOC117184353,CG32006,Single copy gene,1
LOC117184360,CG42382,Single copy gene,1
LOC117184369,CG32686,Single copy gene,1
LOC117184389,CG45101,Single copy gene,1
LOC117184391,CG44355,Single copy gene,1
LOC117184400,CG13073,Single copy gene,1
LOC117184417,Gbeta13F,Single copy gene,1
LOC117184418,CG34250,Single copy gene,1
LOC117184462,CG32846,Single copy gene,1
LOC117184476,Ir7f,Single copy gene,1
LOC117184488,inaF-D,Single copy gene,1
LOC117184492,CG8939,Single copy gene,1
LOC117184506,CG13713,Single copy gene,1
LOC117184538,CRIF,Single copy gene,1
LOC117184563,CG42781,Single copy gene,1
LOC117184609,robl62A,Single copy gene,1
LOC117184614,CG43968,Single copy gene,1
LOC117184660,CG33946,Single copy gene,1
LOC117184663,CG45060,Single copy gene,1
LOC117184667,CG43630,Single copy gene,1
LOC117184693,Gabat,Single copy gene,1
LOC117184694,Nca,Single copy gene,1
LOC117184695,CG7646,Single copy gene,1
LOC117184707,CG32603,Single copy gene,1
LOC117184709,CG45428,Single copy gene,1
LOC117184773,PQBP1,Single copy gene,1
LOC117184805,CG33947,Single copy gene,1
LOC117184825,CG15368,Single copy gene,1
LOC117184900,CG43182,Single copy gene,1
LOC117184915,CG43999,Single copy gene,1
LOC117184924,CG12729,Single copy gene,1
LOC117184960,CG13405,Single copy gene,1
LOC117184977,CG33687,Single copy gene,1
LOC117185017,dsx-c73A,Single copy gene,1
LOC117185018,CG6660,Single copy gene,1
LOC117185043,ng4,Single copy gene,1
LOC117185063,CG15602,Single copy gene,1
LOC117185096,pall,Single copy gene,1
LOC117185098,CG32036,Single copy gene,1
LOC117185167,S1P,Single copy gene,1
LOC117185168,CG11307,Single copy gene,1
LOC117185171,Ilp2,Single copy gene,1
LOC117185621,scro,Single copy gene,1
LOC117185659,CG44090,Single copy gene,1
LOC117185676,CG15548,Single copy gene,1
LOC13036285,Mocs2A,Single copy gene,1
LOC13036292,CG42359,Single copy gene,1
LOC13036301,CG40470,Single copy gene,1
LOC13036310,CG43102,Single copy gene,1
LOC13036311,CG34138,Single copy gene,1
LOC13036326,Tm1,Single copy gene,1
LOC13036329,CG42633,Single copy gene,1
LOC13036333,Hmx,Single copy gene,1
LOC13036341,klhl10,Single copy gene,1
LOC13036349,CG42650,Single copy gene,1
LOC13036350,CG17514,Single copy gene,1
LOC13036356,CG42727,Single copy gene,1
LOC13036360,CG11741,Single copy gene,1
LOC13036368,Snap25,Single copy gene,1
LOC13036369,CG34107,Single copy gene,1
LOC13036374,RYa-R,Single copy gene,1
LOC13036379,Gfrl,Single copy gene,1
LOC13036380,CG34383,Single copy gene,1
LOC13036385,CG10492,Single copy gene,1
LOC13036398,CG34353,Single copy gene,1
LOC13036408,CG34288,Single copy gene,1
LOC13036414,CG15382,Single copy gene,1
LOC13036425,Alg-2,Single copy gene,1
LOC13036427,Oamb,Single copy gene,1
LOC13036428,CG33293,Single copy gene,1
LOC13036429,CG34303,Single copy gene,1
LOC13036433,CG42525,Single copy gene,1
LOC13036434,CG14683,Single copy gene,1
LOC13036438,CG40298,Single copy gene,1
LOC13036441,knk,Single copy gene,1
LOC13036446,CG34307,Single copy gene,1
LOC13036449,CG34377,Single copy gene,1
LOC13036450,CG42795,Single copy gene,1
LOC13036461,Actn3,Single copy gene,1
LOC13036470,CG34155,Single copy gene,1
LOC13036472,eater,Single copy gene,1
LOC13036479,CG34375,Single copy gene,1
LOC13036481,tal-AA,Single copy gene,1
LOC13036484,CG13045,Single copy gene,1
LOC13036504,x16,Single copy gene,1
LOC13036506,CG42446,Single copy gene,1
LOC13036511,CG17490,Single copy gene,1
LOC13036512,TTLL15,Single copy gene,1
LOC13036531,mRpL37,Single copy gene,1
LOC13036532,CG34425,Single copy gene,1
LOC13036535,CG42811,Single copy gene,1
LOC13036540,CG14687,Single copy gene,1
LOC13036543,Gpb5,Single copy gene,1
LOC13036548,CG34273,Single copy gene,1
LOC13036553,Sps2,Single copy gene,1
LOC13036560,Sfp84E,Single copy gene,1
LOC15382870,CG15068,Single copy gene,1
LOC15382871,Snx16,Single copy gene,1
LOC15382872,Stacl,Single copy gene,1
LOC15382874,ppk9,Single copy gene,1
LOC15382876,Hr51,Single copy gene,1
LOC15382879,olf186-F,Single copy gene,1
LOC15382880,CG42806,Single copy gene,1
LOC15382884,CG13217,Single copy gene,1
LOC15382885,CG34315,Single copy gene,1
LOC15382889,CG34141,Single copy gene,1
LOC15382897,CG30457,Single copy gene,1
LOC15382898,CG34224,Single copy gene,1
LOC15382899,Xrcc2,Single copy gene,1
LOC15382900,CG43795,Single copy gene,1
LOC15382902,HmgD,Single copy gene,1
LOC26531963,brat,Single copy gene,1
LOC26531972,CG42306,Single copy gene,1
LOC26531986,CG40178,Single copy gene,1
LOC26531996,CG42305,Single copy gene,1
LOC26532009,Phs,Single copy gene,1
LOC26532010,CG34451,Single copy gene,1
LOC26532019,CG42741,Single copy gene,1
LOC26532027,CG12691,Single copy gene,1
LOC26532034,CG33285,Single copy gene,1
LOC26532036,CG34027,Single copy gene,1
LOC26532051,CG32085,Single copy gene,1
LOC26532066,CG46042,Single copy gene,1
LOC26532093,CG31697,Single copy gene,1
LOC26532094,CG7461,Single copy gene,1
LOC26532095,CG32249,Single copy gene,1
LOC26532098,Ir75b,Single copy gene,1
LOC26532104,CG34282,Single copy gene,1
LOC26532118,ppk10,Single copy gene,1
LOC26532139,CG43675,Single copy gene,1
LOC26532159,CG42711,Single copy gene,1
LOC26532169,pho,Single copy gene,1
LOC26532178,Schip1,Single copy gene,1
LOC26532188,CG43114,Single copy gene,1
LOC26532207,CG44194,Single copy gene,1
LOC26532232,Cad96Ca,Single copy gene,1
LOC26532244,UBL3,Single copy gene,1
LOC26532264,CG13285,Single copy gene,1
LOC26532274,CG43342,Single copy gene,1
LOC26532275,RpL38,Single copy gene,1
LOC26532284,CG44250,Single copy gene,1
LOC26532286,pre-mod_mdg4_-AD,Single copy gene,1
LOC26532301,CG43202,Single copy gene,1
LOC26532302,ppk27,Single copy gene,1
LOC26532324,CG46383,Single copy gene,1
LOC26532325,CG42536,Single copy gene,1
LOC26532338,Glyat,Single copy gene,1
LOC26532346,CG3955,Single copy gene,1
LOC26532352,CG42554,Single copy gene,1
LOC26532357,mtrm,Single copy gene,1
LOC26532360,CG33230,Single copy gene,1
LOC26532384,CG43403,Single copy gene,1
LOC26532407,Obp85a,Single copy gene,1
LOC26532408,CG34429,Single copy gene,1
LOC26532415,CG43781,Single copy gene,1
LOC26532422,CG12828,Single copy gene,1
LOC26532449,CG46312,Single copy gene,1
LOC26532452,CG33309,Single copy gene,1
LOC26532454,CG6138,Single copy gene,1
LOC26532467,CG30479,Single copy gene,1
LOC26532478,l_2_SH0834,Single copy gene,1
LOC26532480,CG13566,Single copy gene,1
LOC26532482,CG42655,Single copy gene,1
LOC26532494,CG34222,Single copy gene,1
LOC26532507,CG41520,Single copy gene,1
LOC26532508,CG45084,Single copy gene,1
LOC26532514,CG15459,Single copy gene,1
LOC26532603,CG31759,Single copy gene,1
LOC26532607,Scp1,Single copy gene,1
LOC26532611,CG34443,Single copy gene,1
LOC26532626,CG43341,Single copy gene,1
LOC26532627,CaMKII,Single copy gene,1
LOC26532629,CG17122,Single copy gene,1
LOC26532643,CG44000,Single copy gene,1
LOC26532645,Cpr49Ac,Single copy gene,1
LOC26532659,wdp,Single copy gene,1
LOC26532665,CG43816,Single copy gene,1
LOC26532691,CG43732,Single copy gene,1
LOC26532702,Snup,Single copy gene,1
LOC26532704,Maf1,Single copy gene,1
LOC26532716,vtd,Single copy gene,1
LOC26532737,CG9525,Single copy gene,1
LOC26532752,eIF4B,Single copy gene,1
LOC26532766,Cals,Single copy gene,1
LOC26532794,CG43709,Single copy gene,1
LOC26532816,CG14464,Single copy gene,1
LOC26532847,CG42654,Single copy gene,1
LOC26532854,CG42833,Single copy gene,1
LOC26532882,btl,Single copy gene,1
LOC26532891,Dbp80,Single copy gene,1
LOC26532905,CG43668,Single copy gene,1
LOC26532915,CG34280,Single copy gene,1
LOC26532947,Ir62a,Single copy gene,1
LOC26532954,CG32801,Single copy gene,1
LOC26532955,pyd3,Single copy gene,1
LOC26532956,CG46321,Single copy gene,1
LOC26532979,loh,Single copy gene,1
LOC26532983,CG34310,Single copy gene,1
LOC26533009,CG42502,Single copy gene,1
LOC26533010,CG32119,Single copy gene,1
LOC26533012,CG43191,Single copy gene,1
LOC26533021,fzr2,Single copy gene,1
LOC26533060,CG45122,Single copy gene,1
LOC26533064,CG44195,Single copy gene,1
LOC26533071,Or71a,Single copy gene,1
LOC26533072,CG42381,Single copy gene,1
LOC26533083,RpL37a,Single copy gene,1
LOC26533090,CG42391,Single copy gene,1
LOC26533094,LSm-4,Single copy gene,1
LOC26533103,CG43208,Single copy gene,1
LOC26533104,CG34171,Single copy gene,1
LOC26533119,CG43667,Single copy gene,1
LOC26533166,CG44435,Single copy gene,1
LOC26533170,CG32017,Single copy gene,1
LOC26533177,CG43207,Single copy gene,1
LOC26533184,CG42798,Single copy gene,1
LOC26533195,CG14431,Single copy gene,1
LOC26533200,Sirt6,Single copy gene,1
LOC26533210,Rpp20,Single copy gene,1
LOC26533219,CG43204,Single copy gene,1
LOC26533223,CG34263,Single copy gene,1
LOC26533240,CG43325,Single copy gene,1
LOC26533253,CG14664,Single copy gene,1
LOC26533256,CG42697,Single copy gene,1
LOC26533261,CG42394,Single copy gene,1
LOC26533264,CG32576,Single copy gene,1
LOC26533266,pre-mod_mdg4_-V,Single copy gene,1
LOC26533270,CG44476,Single copy gene,1
LOC26533276,Ip259,Single copy gene,1
LOC26533291,nvd,Single copy gene,1
LOC26533298,TTLL4A,Single copy gene,1
LOC26533309,CG43134,Single copy gene,1
LOC26533319,CG34454,Single copy gene,1
LOC26533336,Fer3HCH,Single copy gene,1
LOC26533341,CG14104,Single copy gene,1
LOC26533344,CG42392,Single copy gene,1
LOC26533361,CG43935,Single copy gene,1
LOC26533384,CG13358,Single copy gene,1
LOC26533386,bsk,Single copy gene,1
