Orthogroup	Dmel	Dmir	Dpse	Dsub	Dvir	Dwil
OG0000696	Gp210	Dmir_LOC108158703	Dpse_LOC4804846	XP_034650685.1, XP_034654070.1, XP_034661294.1, XP_034665020.1, XP_034665026.1	Dvir_XP_032292195.1	Dwil_XP_002063138.3
OG0000697	CG5664	Dmir_LOC108151352, Dmir_LOC108157684, Dmir_LOC117186233	Dpse_LOC26532333, Dpse_LOC4813929	XP_034659609.1	Dvir_XP_032290677.1	Dwil_XP_002066202.1, Dwil_XP_002068450.3
OG0000698	Tim8	Dmir_LOC108163706, Dmir_LOC108164932	Dpse_LOC4814627, Dpse_LOC6903006	XP_034650116.1, XP_034666494.1	Dvir_XP_002058986.1	Dwil_XP_002063239.1, Dwil_XP_002071081.1
OG0000699	CG7886	Dmir_LOC108156406, Dmir_LOC108160647	Dpse_LOC4801365, Dpse_LOC6901667	XP_034657025.1, XP_034659475.1, XP_034665340.1	Dvir_XP_032294922.1	Dwil_XP_002074074.1
OG0000700	CG42379	Dmir_LOC108160157, Dmir_LOC117189937, Dmir_LOC117189938, Dmir_LOC117190788	Dpse_LOC6898189	XP_034650469.1	Dvir_XP_015024746.1, Dvir_XP_032289193.1	Dwil_XP_015034842.1
OG0000701	FucTA	Dmir_LOC108151409, Dmir_LOC108162168	Dpse_LOC4813686, Dpse_LOC6903001	XP_034656065.1, XP_034668714.1, XP_034668715.1	Dvir_XP_002048219.1	Dwil_XP_023033383.1
OG0000702	Agpat3, Agpat4	Dmir_LOC108151275	Dpse_LOC4812416	XP_034657926.1, XP_034657927.1	Dvir_XP_015031003.1, Dvir_XP_032290916.1	Dwil_XP_002065921.1, Dwil_XP_023031844.1
OG0000703	BoYb	Dmir_LOC108158001, Dmir_LOC108163110, Dmir_LOC117188476	Dpse_LOC6902171	XP_034656757.1, XP_034667705.1	Dvir_XP_002049251.2, Dvir_XP_032292001.1	Dwil_XP_002066279.1
OG0000704	Cyp313a4	Dmir_LOC108153998, Dmir_LOC117187129	Dpse_LOC4800870, Dpse_LOC6896948	XP_034663185.1, XP_034663186.1	Dvir_XP_002053739.1, Dvir_XP_002056725.1	Dwil_XP_002072671.2
OG0000705	CG17906, CG9555	Dmir_LOC108163357, Dmir_LOC108163358	Dpse_LOC4816220, Dpse_LOC6902398	XP_034667715.1, XP_034667716.1	Dvir_XP_002051089.1	Dwil_XP_002065218.1
OG0000706	CG31272	Dmir_LOC108156919	Dpse_LOC117183962, Dpse_LOC4803225	XP_034665589.1	Dvir_XP_002053608.1	Dwil_XP_002073016.1, Dwil_XP_002073018.1, Dwil_XP_023036423.1, Dwil_XP_023037870.1
OG0000707	Spn42De	Dmir_LOC108154068, Dmir_LOC108157468, Dmir_LOC108160828	Dpse_LOC117185204, Dpse_LOC6896665, Dpse_LOC6896667, Dpse_LOC6898087	XP_034662875.1		Dwil_XP_023032657.1
OG0000708	CG44013, CG44014	Dmir_LOC108157713	Dpse_LOC6898003	XP_034660629.1	Dvir_XP_002049446.2, Dvir_XP_015026088.1, Dvir_XP_015026256.1, Dvir_XP_015028927.1	Dwil_XP_023034439.1
OG0000709	eIF3f2	Dmir_LOC108160835, Dmir_LOC117192933, Dmir_LOC117193055, Dmir_LOC117193056, Dmir_LOC117193659	Dpse_LOC6899050	XP_034650951.1	Dvir_XP_002059343.1	Dwil_XP_002063586.1
OG0000710	Vm26Aa	Dmir_LOC108164212, Dmir_LOC117194847	Dpse_LOC4817906, Dpse_LOC6901840	XP_034668890.1, XP_034671487.1	Dvir_XP_002051375.1, Dvir_XP_002051376.3	Dwil_XP_002065360.1
OG0000711	aub	Dmir_LOC108162565, Dmir_LOC117188720	Dpse_LOC117183186, Dpse_LOC117184134, Dpse_LOC4817993	XP_034669192.1	Dvir_XP_002051133.2	Dwil_XP_002065040.2, Dwil_XP_002065041.1
OG0000712	Or98a	Dmir_LOC108154022	Dpse_LOC117183391, Dpse_LOC117183690, Dpse_LOC117183697, Dpse_LOC4800683, Dpse_LOC6898222, Dpse_LOC6898223	XP_034665094.1, XP_034665095.1		
OG0000713	Osi6	Dmir_LOC108154576	Dpse_LOC6897379	XP_034660928.1	Dvir_XP_002058559.2	Dwil_XP_002073625.3, Dwil_XP_002075927.3, Dwil_XP_015031839.1, Dwil_XP_023031881.1, Dwil_XP_023037317.1
OG0000714	CG7202	Dmir_LOC108153023, Dmir_LOC108160969, Dmir_LOC117188467, Dmir_LOC117193283	Dpse_LOC6898618, Dpse_LOC6900274	XP_034656529.1	Dvir_XP_002048125.1	Dwil_XP_002068248.2
OG0000715	Larp7	Dmir_LOC108153892, Dmir_LOC117186928, Dmir_LOC117187987	Dpse_LOC4814593, Dpse_LOC6899268	XP_034667672.1	Dvir_XP_002055418.1	Dwil_XP_002071429.1, Dwil_XP_023034850.1
OG0000716	CG12782, Rae1	Dmir_LOC108160486, Dmir_LOC117189957, Dmir_LOC117192062	Dpse_LOC4803699	XP_034653973.1	Dvir_XP_002049052.2, Dvir_XP_002049075.1	Dwil_XP_002062674.1
OG0000717	CG12123	Dmir_LOC108162432	Dpse_LOC6901333, Dpse_LOC6902447	XP_034655595.1, XP_034667055.1	Dvir_XP_002047179.1, Dvir_XP_002055730.1	Dwil_XP_002064096.1, Dwil_XP_002066572.1
OG0000718	vret	Dmir_LOC108156914, Dmir_LOC108157088	Dpse_LOC4800932, Dpse_LOC6901708	XP_034662319.1, XP_034663025.1, XP_034672305.1	Dvir_XP_002054277.1	Dwil_XP_002069630.1
OG0000719	FucTB	Dmir_LOC108161211, Dmir_LOC108163567, Dmir_LOC108163657	Dpse_LOC117183169, Dpse_LOC26533099, Dpse_LOC6903365	XP_034667576.1	Dvir_XP_002057873.1	Dwil_XP_002067088.1
OG0000720	Ugt49B1, Ugt49B2	Dmir_LOC108158482	Dpse_LOC4803762	XP_034654250.1	Dvir_XP_002047769.1, Dvir_XP_002050308.2, Dvir_XP_002058443.1, Dvir_XP_015029249.1	Dwil_XP_002063666.1
OG0000721	CG3687	Dmir_LOC108160949, Dmir_LOC117190957, Dmir_LOC117191002, Dmir_LOC117191233, Dmir_LOC117191869	Dpse_LOC4804160	XP_034653044.1	Dvir_XP_002049588.1	Dwil_XP_023033004.1
OG0000722	Klp61F	Dmir_LOC108152222, Dmir_LOC117185895, Dmir_LOC117186187, Dmir_LOC117191728, Dmir_LOC117194464	Dpse_LOC4811939	XP_034659271.1	Dvir_XP_002047052.1	Dwil_XP_002065991.1
OG0000723	CG5969	Dmir_LOC108152052, Dmir_LOC108161629	Dpse_LOC117183720, Dpse_LOC4812078, Dpse_LOC6898304	XP_034656858.1, XP_034656859.1	Dvir_XP_002048110.1	Dwil_XP_002069021.1
OG0000724	CG5390	Dmir_LOC108161610	Dpse_LOC26533742	XP_034667369.1	Dvir_XP_002052391.1, Dvir_XP_002057550.2, Dvir_XP_002057551.2, Dvir_XP_032293402.1, Dvir_XP_032293751.1	Dwil_XP_002072489.2
OG0000725	IM3	Dmir_LOC108160853, Dmir_LOC108162451, Dmir_LOC117193550	Dpse_LOC26534101, Dpse_LOC6898654	XP_034651881.1	Dvir_XP_015028815.1	Dwil_XP_002074763.1, Dwil_XP_015033034.1
OG0000726	Ppr-Y, TbCMF46	Dmir_LOC108162050, Dmir_LOC117189233	Dpse_LOC4817313, Dpse_LOC6899335	XP_034668956.1	Dvir_XP_002052450.2	Dwil_XP_002067008.1, Dwil_XP_023031842.1
OG0000727	BTBD9	Dmir_LOC108159045	Dpse_LOC4815156	XP_034659892.1	Dvir_XP_002058037.1	Dwil_XP_002067250.1, Dwil_XP_002072244.1, Dwil_XP_002072245.3, Dwil_XP_002072263.1, Dwil_XP_015032598.1
OG0000728	tra2	Dmir_LOC108157980, Dmir_LOC117187800, Dmir_LOC117188201, Dmir_LOC117188282, Dmir_LOC117188312	Dpse_LOC4803967	XP_034654222.1	Dvir_XP_002049699.2	Dwil_XP_002063759.1
OG0000729	CG7631	Dmir_LOC108161521	Dpse_LOC4816666, Dpse_LOC6902543	XP_034667859.1, XP_034667861.1	Dvir_XP_002052178.1, Dvir_XP_002052179.2, Dvir_XP_002052181.2	Dwil_XP_002066348.2
OG0000730	BI-1	Dmir_LOC108150878, Dmir_LOC108151500, Dmir_LOC108155090	Dpse_LOC6897710, Dpse_LOC6900941, Dpse_LOC6901937	XP_034656982.1	Dvir_XP_015031190.1	Dwil_XP_002061798.1
OG0000731	Spt6	Dmir_LOC108158716	Dpse_LOC4814900	XP_034662685.1, XP_034665722.1	Dvir_XP_002058279.1	Dwil_XP_015032743.2, Dwil_XP_023030663.1, Dwil_XP_023034786.1, Dwil_XP_023035095.1
OG0000732	CG4892	Dmir_LOC108163336, Dmir_LOC108164073, Dmir_LOC117188706, Dmir_LOC117188707, Dmir_LOC117188840	Dpse_LOC4816370	XP_034666794.1	Dvir_XP_002057534.1	Dwil_XP_002066411.3
OG0000733	Adi1	Dmir_LOC108152158, Dmir_LOC117186326, Dmir_LOC117186362, Dmir_LOC117186365, Dmir_LOC117186372	Dpse_LOC4812932	XP_034657358.1	Dvir_XP_002046274.3	Dwil_XP_002062176.1
OG0000734		Dmir_LOC108151414	Dpse_LOC6901425	XP_034672287.1	Dvir_XP_002047479.2, Dvir_XP_002055752.1, Dvir_XP_002056631.2, Dvir_XP_032295834.1	Dwil_XP_002075503.1, Dwil_XP_023037209.1, Dwil_XP_023037210.1
OG0000735		Dmir_LOC108152170, Dmir_LOC108164914, Dmir_LOC108165451, Dmir_LOC117186656, Dmir_LOC117186657, Dmir_LOC117186747, Dmir_LOC117186774, Dmir_LOC117186782	Dpse_LOC6900958	XP_034667130.1		
OG0000736		Dmir_LOC108153050	Dpse_LOC117185049, Dpse_LOC26532270, Dpse_LOC26532434, Dpse_LOC26532491, Dpse_LOC26533191, Dpse_LOC26533394, Dpse_LOC26534381		Dvir_XP_002048584.2	Dwil_XP_023037363.1
OG0000737		Dmir_LOC108156621	Dpse_LOC6896921	XP_034664035.1, XP_034664047.1, XP_034664048.1, XP_034664947.1		Dwil_XP_002070105.2, Dwil_XP_002070108.2, Dwil_XP_002070110.2, Dwil_XP_023034680.1
OG0000738		Dmir_LOC108159180, Dmir_LOC117190406, Dmir_LOC117191401, Dmir_LOC117191402, Dmir_LOC117191750, Dmir_LOC117191751, Dmir_LOC117191997, Dmir_LOC117192031	Dpse_LOC4803718	XP_034650713.1		
OG0000739		Dmir_LOC108160471, Dmir_LOC108160472, Dmir_LOC117192852, Dmir_LOC117192854, Dmir_LOC117193364	Dpse_LOC6899117, Dpse_LOC6899118	XP_034650447.1, XP_034652164.1		Dwil_XP_023031170.1
OG0000740		Dmir_LOC108161442, Dmir_LOC108161598	Dpse_LOC6903166, Dpse_LOC6903167	XP_034667930.1, XP_034669572.1	Dvir_XP_002047322.1, Dvir_XP_002047325.1, Dvir_XP_032290418.1	Dwil_XP_015034047.1
OG0000741		Dmir_LOC108163938, Dmir_LOC108163946	Dpse_LOC6902466, Dpse_LOC6902467, Dpse_LOC6902469	XP_034667573.1, XP_034667754.1	Dvir_XP_002047941.1, Dvir_XP_015030559.1	Dwil_XP_002065631.2
OG0000742		Dmir_LOC117186014, Dmir_LOC117186338, Dmir_LOC117186488, Dmir_LOC117186601, Dmir_LOC117190057, Dmir_LOC117190588, Dmir_LOC117193996, Dmir_LOC117194863	Dpse_LOC117184889		Dvir_XP_032289174.1	
OG0000743		Dmir_LOC117189258, Dmir_LOC117189278, Dmir_LOC117191729, Dmir_LOC117194504, Dmir_LOC117194505, Dmir_LOC117194537, Dmir_LOC117194571, Dmir_LOC117194853, Dmir_LOC117195201		XP_034670791.1		
OG0000744		Dmir_LOC117189330, Dmir_LOC117189366, Dmir_LOC117189386, Dmir_LOC117189387, Dmir_LOC117189391, Dmir_LOC117190822, Dmir_LOC117191403, Dmir_LOC117191719, Dmir_LOC117192103	Dpse_LOC117184572			
OG0000745		Dmir_LOC117189641, Dmir_LOC117189643, Dmir_LOC117189644, Dmir_LOC117189645, Dmir_LOC117194085, Dmir_LOC117194086, Dmir_LOC117195208	Dpse_LOC117183206, Dpse_LOC117184200, Dpse_LOC26532503			
OG0000746		Dmir_LOC117190823, Dmir_LOC117191840	Dpse_LOC117183651, Dpse_LOC117183652, Dpse_LOC117183653, Dpse_LOC117183655, Dpse_LOC117183772, Dpse_LOC117184892, Dpse_LOC117184929, Dpse_LOC117185141			
OG0000747			Dpse_LOC117183229, Dpse_LOC117183728, Dpse_LOC117184542, Dpse_LOC117184672, Dpse_LOC117184690, Dpse_LOC117184745, Dpse_LOC117184780, Dpse_LOC117184812, Dpse_LOC117184984, Dpse_LOC117185032			
OG0000748			Dpse_LOC117184123, Dpse_LOC117184214, Dpse_LOC117184559, Dpse_LOC117184582, Dpse_LOC117184927, Dpse_LOC117185076, Dpse_LOC117185077, Dpse_LOC117185078, Dpse_LOC117185079		Dvir_XP_032289325.1	
OG0000749						Dwil_XP_002061349.1, Dwil_XP_002061350.1, Dwil_XP_002062273.2, Dwil_XP_015034529.1, Dwil_XP_015034761.1, Dwil_XP_015034785.1, Dwil_XP_023032718.1, Dwil_XP_023032822.1, Dwil_XP_023032978.1, Dwil_XP_023036986.1
OG0000750						Dwil_XP_023031706.1, Dwil_XP_023032207.1, Dwil_XP_023032210.1, Dwil_XP_023032275.1, Dwil_XP_023032276.1, Dwil_XP_023032277.1, Dwil_XP_023037620.1, Dwil_XP_023037630.1, Dwil_XP_023037634.1, Dwil_XP_023037691.1
OG0000751						Dwil_XP_023032510.1, Dwil_XP_023033946.1, Dwil_XP_023034335.1, Dwil_XP_023036183.1, Dwil_XP_023036434.1, Dwil_XP_023036741.1, Dwil_XP_023036760.1, Dwil_XP_023036761.1, Dwil_XP_023037198.1, Dwil_XP_023037252.1
OG0000752	CG34184, CG34442	Dmir_LOC108160383	Dpse_LOC6898275	XP_034653003.1	Dvir_XP_015030279.1	Dwil_XP_015034203.1, Dwil_XP_015034363.1, Dwil_XP_015034412.1
OG0000753	primo-1, primo-2	Dmir_LOC108157414	Dpse_LOC4801300	XP_034661177.1, XP_034661178.1	Dvir_XP_002058519.1, Dvir_XP_002058520.1	Dwil_XP_002073590.1
OG0000754	CG12477, CG5334, CG5347, Mkrn1	Dmir_LOC108152869	Dpse_LOC4813957	XP_034657905.1	Dvir_XP_002047618.2	Dwil_XP_002065847.1
OG0000755	Tim17a1, Tim17a2	Dmir_LOC108151187, Dmir_LOC108154934	Dpse_LOC4802488, Dpse_LOC6901509	XP_034662272.1	Dvir_XP_002056572.1	Dwil_XP_015032217.1
OG0000756	Prosbeta2, Prosbeta2R2	Dmir_LOC108152960	Dpse_LOC4812987	XP_034655949.1	Dvir_XP_002047231.1, Dvir_XP_002047989.1	Dwil_XP_002074381.1, Dwil_XP_023036709.1
OG0000757	Gr47b	Dmir_LOC108159516, Dmir_LOC117187814, Dmir_LOC117188230	Dpse_LOC26532250, Dpse_LOC4805024	XP_034652219.1	Dvir_XP_002050149.1	Dwil_XP_002074546.1
OG0000758	CAH14	Dmir_LOC108157732, Dmir_LOC108158374, Dmir_LOC108160930, Dmir_LOC117190412	Dpse_LOC4804403	XP_034650193.1	Dvir_XP_032292059.1	Dwil_XP_002074947.2
OG0000759	CCY, CG31161	Dmir_LOC108155073	Dpse_LOC6896880	XP_034664367.1	Dvir_XP_015026078.1, Dvir_XP_015026081.2	Dwil_XP_002071933.3, Dwil_XP_023032634.1
OG0000760	can	Dmir_LOC108157388, Dmir_LOC108165153	Dpse_LOC6896840, Dpse_LOC6901264, Dpse_LOC6903399	XP_034655646.1, XP_034655941.1	Dvir_XP_032290371.1	
OG0000761	ND-B12	Dmir_LOC108160487, Dmir_LOC117189958, Dmir_LOC117190644, Dmir_LOC117192068	Dpse_LOC4803700	XP_034653987.1	Dvir_XP_002049074.1	Dwil_XP_002062675.1
OG0000762	CG1924, Cnx14D, Cnx99A	Dmir_LOC108156769	Dpse_LOC6896766	XP_034661732.1	Dvir_XP_015024843.1	Dwil_XP_015032799.1, Dwil_XP_023037148.1
OG0000763	her	Dmir_LOC108163541	Dpse_LOC4817505	XP_034668271.1	Dvir_XP_002048852.2, Dvir_XP_002048942.1, Dvir_XP_002059274.1, Dvir_XP_032295224.1	Dwil_XP_023036695.1
OG0000764	CG32335, CG9119	Dmir_LOC108152464	Dpse_LOC4812003	XP_034655117.1	Dvir_XP_002046437.1, Dvir_XP_032291321.1	Dwil_XP_002065975.1, Dwil_XP_002065976.1
OG0000765	CG43783, orb2	Dmir_LOC108152263, Dmir_LOC108162274	Dpse_LOC4812428, Dpse_LOC6903558	XP_034658511.1	Dvir_XP_015030863.1	Dwil_XP_023037510.1
OG0000766	Peritrophin-15a, Peritrophin-15b	Dmir_LOC108163501, Dmir_LOC108164172	Dpse_LOC4818169, Dpse_LOC6903544	XP_034669473.1	Dvir_XP_002057559.1	Dwil_XP_015032766.1
OG0000767	toc	Dmir_LOC108162309	Dpse_LOC117183986, Dpse_LOC6903567	XP_034669384.1	Dvir_XP_032294394.1, Dvir_XP_032294542.1	Dwil_XP_002064750.2, Dwil_XP_015033891.2
OG0000768	CkIIbeta2	Dmir_LOC108160825, Dmir_LOC117194089	Dpse_LOC4804599	XP_034653753.1, XP_034667917.1, XP_034671865.1	Dvir_XP_002049832.1	Dwil_XP_002062756.1
OG0000769	Cyp9f2, Cyp9f3	Dmir_LOC108154822	Dpse_LOC4800823	XP_034664015.1	Dvir_XP_002050499.3, Dvir_XP_002056303.1, Dvir_XP_002058676.1	Dwil_XP_002070125.1
OG0000770	Rack1	Dmir_LOC108163041	Dpse_LOC4816803	XP_034669978.1	Dvir_XP_002048622.1, Dvir_XP_002051653.1	Dwil_XP_002065157.1, Dwil_XP_002074518.1, Dwil_XP_023037027.1
OG0000771	Grip84	Dmir_LOC108153590, Dmir_LOC108162622	Dpse_LOC4815237, Dpse_LOC6900775	XP_034657654.1, XP_034658527.1	Dvir_XP_002057985.1	Dwil_XP_023035213.1
OG0000772	CG10970	Dmir_LOC108162529, Dmir_LOC108164858	Dpse_LOC4815141, Dpse_LOC6902860	XP_034656268.1, XP_034671884.1	Dvir_XP_002055068.1	Dwil_XP_002075212.1
OG0000773	Rad51D	Dmir_LOC108158824, Dmir_LOC108159368, Dmir_LOC108164506	Dpse_LOC4805180, Dpse_LOC6904014	XP_034652688.1	Dvir_XP_002059404.1	Dwil_XP_002074974.3
OG0000774	ph-d, ph-p	Dmir_LOC108151703, Dmir_LOC117186269	Dpse_LOC6901107, Dpse_LOC6901109	XP_034671597.1	Dvir_XP_032296543.1	Dwil_XP_023034876.1
OG0000775	CG45764, CG45765, CG45766, CG45770, Mst77F, Mst77Y-13, Mst77Y-4, Mst77Y-7, Mst77Y-9					
OG0000776	CycB	Dmir_LOC108160187, Dmir_LOC117185730	Dpse_LOC4803852	XP_034651883.1, XP_034654587.1	Dvir_XP_002050261.2	Dwil_XP_002063304.1, Dwil_XP_023033117.1
OG0000777	Gpdh1, Gpdh3	Dmir_LOC108163718	Dpse_LOC6903339	XP_034670097.1	Dvir_XP_002051368.1, Dvir_XP_002054373.2, Dvir_XP_032293600.1	Dwil_XP_002065366.1
OG0000778	CG11537	Dmir_LOC108151523, Dmir_LOC108151758	Dpse_LOC4811876, Dpse_LOC6900284	XP_034658050.1, XP_034658590.1	Dvir_XP_002046101.1	Dwil_XP_015033172.1
OG0000779	HipHop, ms_3_K81	Dmir_LOC108153447	Dpse_LOC4813682	XP_034655603.1, XP_034658166.1	Dvir_XP_002057629.1	Dwil_XP_002064884.1, Dwil_XP_023033215.1
OG0000780	CG11598, CG11600, CG11608, CG18530	Dmir_LOC108156331, Dmir_LOC108156332	Dpse_LOC4800877, Dpse_LOC6904092	XP_034665751.1		
OG0000781	wdp	Dmir_LOC108160516, Dmir_LOC117192563	Dpse_LOC26532659	XP_034650676.1	Dvir_XP_002059902.1	Dwil_XP_002061277.1, Dwil_XP_023031537.1, Dwil_XP_023032139.1
OG0000782	CG9899, Ctr9	Dmir_LOC108151199	Dpse_LOC4811961	XP_034657750.1	Dvir_XP_002047039.1, Dvir_XP_032293188.1	Dwil_XP_002068497.1, Dwil_XP_023037705.1
OG0000783	CG10177	Dmir_LOC108154034, Dmir_LOC117186097	Dpse_LOC4800549	XP_034665391.1	Dvir_XP_002053841.1	Dwil_XP_002073429.2, Dwil_XP_002076016.1, Dwil_XP_015031848.2
OG0000784	CG15930	Dmir_LOC108151089	Dpse_LOC6902043	XP_034658863.1, XP_034660551.1, XP_034666279.1	Dvir_XP_002057026.2	Dwil_XP_023031303.1, Dwil_XP_023037197.1
OG0000785	Spc105R	Dmir_LOC108152836, Dmir_LOC108161291	Dpse_LOC6900295, Dpse_LOC6903119	XP_034657212.1	Dvir_XP_002048436.1, Dvir_XP_032290030.1	Dwil_XP_023033828.1
OG0000786	LS2, U2af50	Dmir_LOC108156087	Dpse_LOC4814531	XP_034658892.1	Dvir_XP_002049047.1, Dvir_XP_002055432.2	Dwil_XP_002071589.1, Dwil_XP_023037654.1
OG0000787	CG7804, TBPH	Dmir_LOC108160250, Dmir_LOC117190686	Dpse_LOC4811752	XP_034651911.1	Dvir_XP_015029866.1, Dvir_XP_032289012.1	Dwil_XP_023030741.1
OG0000788	CG43775, CG43776, CG43777	Dmir_LOC108158898, Dmir_LOC117185762	Dpse_LOC6898450	XP_034652693.1	Dvir_XP_002050417.2	Dwil_XP_023036970.1
OG0000789	CG4691, boly	Dmir_LOC108160339, Dmir_LOC117187963	Dpse_LOC4803590	XP_034654991.1	Dvir_XP_002049639.2, Dvir_XP_032292944.1	Dwil_XP_002063723.2
OG0000790	CG18814, CG4842	Dmir_LOC108153719	Dpse_LOC4812453	XP_034657935.1	Dvir_XP_002046238.1	Dwil_XP_002061994.1, Dwil_XP_002061995.1, Dwil_XP_002065923.1
OG0000791	Topors	Dmir_LOC108160140, Dmir_LOC117187952, Dmir_LOC117188086, Dmir_LOC117188137, Dmir_LOC117188182	Dpse_LOC4804065	XP_034654645.1	Dvir_XP_015029030.1	
OG0000792	Eglp3	Dmir_LOC108160599, Dmir_LOC117193372	Dpse_LOC6898516	XP_034655053.1	Dvir_XP_002050384.1, Dvir_XP_002050385.2, Dvir_XP_032292031.1	Dwil_XP_023037018.1
OG0000793	Spn28B, Spn28Da, Spn28Db, Spn28F, Spn38F, Spn42Dd, Spn53F		Dpse_LOC6898086	XP_034652783.1		
OG0000794	Rm62	Dmir_LOC108152098, Dmir_LOC108156126	Dpse_LOC4801920, Dpse_LOC6899972	XP_034664522.1	Dvir_XP_002058578.1, Dvir_XP_032291502.1	Dwil_XP_002073643.1
OG0000795	ItgaPS4, ItgaPS5, scb	Dmir_LOC108158475, Dmir_LOC117191074	Dpse_LOC4803362	XP_034650832.1	Dvir_XP_002059921.1	Dwil_XP_002061382.2
OG0000796	sand	Dmir_LOC108158854, Dmir_LOC117190492, Dmir_LOC117191637, Dmir_LOC117191759	Dpse_LOC4804348	XP_034652387.1	Dvir_XP_002050393.3	Dwil_XP_002074600.1
OG0000797	CG10550	Dmir_LOC108154328, Dmir_LOC108157585	Dpse_LOC4802343, Dpse_LOC6897573	XP_034664625.1	Dvir_XP_002053201.1	Dwil_XP_002073844.1, Dwil_XP_023035883.1
OG0000798	Plap	Dmir_LOC108161762, Dmir_LOC117188612	Dpse_LOC117184189, Dpse_LOC117184190, Dpse_LOC4817612	XP_034668337.1	Dvir_XP_002051608.1	Dwil_XP_002074268.1
OG0000799	CG10472	Dmir_LOC108152480	Dpse_LOC4813467	XP_034656248.1, XP_034657620.1	Dvir_XP_002046531.3, Dvir_XP_032291099.1	Dwil_XP_002061963.1, Dwil_XP_002061964.1
OG0000800	Hsp27	Dmir_LOC108152524, Dmir_LOC117186297	Dpse_LOC117184969, Dpse_LOC4814158, Dpse_LOC6904089	XP_034659115.1	Dvir_XP_002048202.1	Dwil_XP_002062618.1
OG0000801	RpS19a	Dmir_LOC108151268, Dmir_LOC108161453, Dmir_LOC108164927	Dpse_LOC4815589, Dpse_LOC6903708	XP_034666870.1	Dvir_XP_002058200.1	Dwil_XP_002071289.2
OG0000802	CG3085	Dmir_LOC108159381	Dpse_LOC4803735	XP_034650641.1	Dvir_XP_002049029.2, Dvir_XP_002049030.1, Dvir_XP_002049031.1, Dvir_XP_002051721.1	Dwil_XP_002062715.1
OG0000803	Ir51b	Dmir_LOC108159690, Dmir_LOC108160514, Dmir_LOC117190394	Dpse_LOC4804010, Dpse_LOC6898333	XP_034654948.1	Dvir_XP_002049139.1	Dwil_XP_002063658.2
OG0000804	CG8478	Dmir_LOC108155366, Dmir_LOC117190155, Dmir_LOC117190826, Dmir_LOC117191438	Dpse_LOC4801510	XP_034663196.1	Dvir_XP_002054564.1	Dwil_XP_002070266.2
OG0000805	CG6036, alph	Dmir_LOC108156357, Dmir_LOC108164301	Dpse_LOC4800487, Dpse_LOC6902658	XP_034666560.1	Dvir_XP_002055841.1	Dwil_XP_023034373.1
OG0000806	CG13793, CG13794, CG13795, CG33296	Dmir_LOC108163242	Dpse_LOC6902826	XP_034668145.1	Dvir_XP_002052893.1	Dwil_XP_023031203.1
OG0000807	achi, vis	Dmir_LOC108159232, Dmir_LOC117185818	Dpse_LOC4805467	XP_034650927.1	Dvir_XP_002055375.1, Dvir_XP_002059294.2	Dwil_XP_023033599.1
OG0000808	RpL13A	Dmir_LOC108153069, Dmir_LOC108154746, Dmir_LOC117187077, Dmir_LOC117188320	Dpse_LOC4802041	XP_034665677.1	Dvir_XP_002056619.1	Dwil_XP_002073047.1
OG0000809	Sr-CI, Sr-CII, Sr-CIII, Sr-CIV	Dmir_LOC108163636	Dpse_LOC6902834	XP_034669401.1	Dvir_XP_002051909.1	Dwil_XP_023031201.1
OG0000810	key	Dmir_LOC108159159, Dmir_LOC117192582, Dmir_LOC117193282	Dpse_LOC4804695	XP_034654292.1	Dvir_XP_002048868.2	Dwil_XP_023030545.1, Dwil_XP_023037799.1
OG0000811	Hmu, Ssl2	Dmir_LOC108156504, Dmir_LOC108156874	Dpse_LOC4801173, Dpse_LOC6897271	XP_034662394.1	Dvir_XP_002054742.1	Dwil_XP_002069863.1
OG0000812	CG30382, Prosalpha1	Dmir_LOC108158981, Dmir_LOC117189663	Dpse_LOC4804438	XP_034650867.1	Dvir_XP_002058193.1, Dvir_XP_002059362.1	Dwil_XP_002063543.1
OG0000813	CG3927, CG4021, nsr, qkr58E-3	Dmir_LOC108159698	Dpse_LOC4805200	XP_034653214.1	Dvir_XP_032292624.1	Dwil_XP_002061265.1
OG0000814	CG16985	Dmir_LOC108151808, Dmir_LOC108151809	Dpse_LOC4814153, Dpse_LOC6900993	XP_034657235.1, XP_034657237.1	Dvir_XP_002046627.2	Dwil_XP_002067843.1
OG0000815	CG14767	Dmir_LOC108158535, Dmir_LOC117193956, Dmir_LOC117194116, Dmir_LOC117194117	Dpse_LOC4805068	XP_034650362.1	Dvir_XP_002049882.1	Dwil_XP_015034221.1
OG0000816	CG33309	Dmir_LOC108162892	Dpse_LOC26532452	XP_034666822.1	Dvir_XP_015028917.1, Dvir_XP_032293832.1	Dwil_XP_023032226.1, Dwil_XP_023032905.1, Dwil_XP_023036671.1
OG0000817	CG13284, CG31809, CG31810	Dmir_LOC108164143	Dpse_LOC4816951	XP_034667783.1	Dvir_XP_002052191.2	Dwil_XP_002066337.2, Dwil_XP_002069534.1
OG0000818	CG31207	Dmir_LOC108154401	Dpse_LOC4803300	XP_034662602.1, XP_034662606.1	Dvir_XP_015025811.1, Dvir_XP_032291019.1	Dwil_XP_002073818.2, Dwil_XP_002073819.1
OG0000819	CG1304, CG4271, Ser6	Dmir_LOC108165219	Dpse_LOC4814555	XP_034670250.1	Dvir_XP_002055230.1, Dvir_XP_002055254.1	Dwil_XP_002064212.1
